=== BECKHOFF SPS VARIABLEN ===

Name: .CURRENTUSERID                                               | Typ: INT16
Name: .CURRENTUSERLEVEL                                            | Typ: INT16
Name: .CURRENTUSERNAME                                             | Typ: STRING(40)
Name: .CURRENTVISU                                                 | Typ: STRING(40)
Name: .CURRENTWRITEACCESSCLIENTID                                  | Typ: DWORD
Name: .C_TEXT_MC_FEHLER                                            | Typ: STRING(100)
Name: .DBGCONTEXT_NAMES                                            | Typ: ARRAY [0..2] OF STRING(10)
Name: .DEFAULT_CSV_FIELD_SEP                                       | Typ: BYTE
Name: .DEFAULT_DBGOUTPUT_FILE                                      | Typ: STRING(80)
Name: .DISABLE_CORE_SHUTDOWN                                       | Typ: BOOL
Name: .DISABLE_GLOBAL_SHUTDOWN                                     | Typ: BOOL
Name: .EC_DCTIME_DELTA_OFFSET                                      | Typ: T_ULARGE_INTEGER
Name: .EC_DCTIME_TICKSPERDAY                                       | Typ: T_ULARGE_INTEGER
Name: .EC_DCTIME_TICKSPERMSEC                                      | Typ: T_ULARGE_INTEGER
Name: .EC_DCTIME_TICKSPERSEC                                       | Typ: T_ULARGE_INTEGER
Name: .EMPTY_ARG_VALUE                                             | Typ: T_ARG
Name: .EMPTY_ROUTE_ENTRY                                           | Typ: ST_AMSROUTEENTRY
Name: .E_KUNDEN_DI1                                                | Typ: BOOL
Name: .E_LADESCHALENSENSOR                                         | Typ: BOOL
Name: .E_LAM_SENSOR_1                                              | Typ: BOOL
Name: .E_LAM_SENSOR_2                                              | Typ: BOOL
Name: .E_LAM_SENSOR_3                                              | Typ: BOOL
Name: .E_RASPY_DO1                                                 | Typ: BOOL
Name: .E_RASPY_DO2                                                 | Typ: BOOL
Name: .E_RESERVE_2_1                                               | Typ: BOOL
Name: .E_RESERVE_2_2                                               | Typ: BOOL
Name: .E_RESERVE_2_3                                               | Typ: BOOL
Name: .E_RESERVE_2_4                                               | Typ: BOOL
Name: .E_RESERVE_2_5                                               | Typ: BOOL
Name: .E_RESERVE_2_6                                               | Typ: BOOL
Name: .E_RESERVE_2_7                                               | Typ: BOOL
Name: .E_ROLLER_DRIVE_EC310_FEHLERAUSWERTUNG                       | Typ: BOOL
Name: .E_SAFETY_SCANNER_ERROR                                      | Typ: BOOL
Name: .E_SAFETY_SCANNER_RESET_ANFORDERUNG                          | Typ: BOOL
