Name: .CURRENTPASSWORDS | Group: 16448 | Offset: 121300
Name: .CURRENTUSERID | Group: 16448 | Offset: 121296
Name: .CURRENTUSERLEVEL | Group: 16448 | Offset: 121298
Name: .CURRENTUSERNAME | Group: 16448 | Offset: 121213
Name: .CURRENTVISU | Group: 16448 | Offset: 121090
Name: .CURRENTWRITEACCESSCLIENTID | Group: 16448 | Offset: 121468
Name: .C_TEXT_MC_FEHLER | Group: 16448 | Offset: 81
Name: .DBGCONTEXT_NAMES | Group: 16448 | Offset: 246904
Name: .DEFAULT_CSV_FIELD_SEP | Group: 16448 | Offset: 222350
Name: .DEFAULT_DBGOUTPUT_FILE | Group: 16448 | Offset: 203
Name: .DISABLE_CORE_SHUTDOWN | Group: 16448 | Offset: 122340
Name: .DISABLE_GLOBAL_SHUTDOWN | Group: 16448 | Offset: 122341
Name: .EC_DCTIME_DELTA_OFFSET | Group: 16448 | Offset: 246940
Name: .EC_DCTIME_TICKSPERDAY | Group: 16448 | Offset: 246964
Name: .EC_DCTIME_TICKSPERMSEC | Group: 16448 | Offset: 246948
Name: .EC_DCTIME_TICKSPERSEC | Group: 16448 | Offset: 246956
Name: .EMPTY_ARG_VALUE | Group: 16448 | Offset: 230188
Name: .EMPTY_ROUTE_ENTRY | Group: 16448 | Offset: 230040
Name: .E_KUNDEN_DI1 | Group: 61473 | Offset: 14
Name: .E_LADESCHALENSENSOR | Group: 61473 | Offset: 15
Name: .E_LAM_SENSOR_1 | Group: 61473 | Offset: 9
Name: .E_LAM_SENSOR_2 | Group: 61473 | Offset: 8
Name: .E_LAM_SENSOR_3 | Group: 61473 | Offset: 7
Name: .E_RASPY_DO1 | Group: 61473 | Offset: 11
Name: .E_RASPY_DO2 | Group: 61473 | Offset: 12
Name: .E_RESERVE_2_1 | Group: 61473 | Offset: 17
Name: .E_RESERVE_2_2 | Group: 61473 | Offset: 18
Name: .E_RESERVE_2_3 | Group: 61473 | Offset: 19
Name: .E_RESERVE_2_4 | Group: 61473 | Offset: 20
Name: .E_RESERVE_2_5 | Group: 61473 | Offset: 21
Name: .E_RESERVE_2_6 | Group: 61473 | Offset: 22
Name: .E_RESERVE_2_7 | Group: 61473 | Offset: 23
Name: .E_ROLLER_DRIVE_EC310_FEHLERAUSWERTUNG | Group: 61473 | Offset: 16
Name: .E_SAFETY_SCANNER_ERROR | Group: 61473 | Offset: 4
Name: .E_SAFETY_SCANNER_RESET_ANFORDERUNG | Group: 61473 | Offset: 6
Name: .E_SAFETY_SCANNER_TIM_H_OUT_1_FELD1_SICHER | Group: 61473 | Offset: 10
Name: .E_SAFETY_SCANNER_TIM_H_OUT_4_BEREIT | Group: 61473 | Offset: 13
Name: .E_SAFETY_SCANNER_TIM_L_OUT_1_FELD1_SICHER | Group: 61473 | Offset: 96
Name: .E_SAFETY_SCANNER_TIM_L_OUT_2_FELD2_SICHER | Group: 61473 | Offset: 97
Name: .E_SAFETY_SCANNER_TIM_L_OUT_3_FELD3_SICHER | Group: 61473 | Offset: 98
Name: .E_SAFETY_SCANNER_TIM_L_OUT_4_FELD4_SICHER | Group: 61473 | Offset: 99
Name: .E_SAFETY_SCANNER_TIM_R_OUT_1_FELD1_SICHER | Group: 61473 | Offset: 100
Name: .E_SAFETY_SCANNER_TIM_R_OUT_2_FELD2_SICHER | Group: 61473 | Offset: 101
Name: .E_SAFETY_SCANNER_TIM_R_OUT_3_FELD3_SICHER | Group: 61473 | Offset: 102
